store_id,user_id,Visit_Frequency,Membership,Avg_amount_spent_pervisit,Brand_satisfaction,price_satisfaction,promotions_satisfaction,Ambiance,wifi_quality,Service_satisfaction,Overall_satisfaction,Channels,Loyalty
S1271,1,Rarely,Yes,$ 20,4,3,5,5,4,4,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",Yes
S1312,2,Rarely,Yes,$ 20,4,3,4,4,4,5,2,Social Media;In Store displays,Yes
S1165,3,Monthly,Yes,$ 20,4,3,4,4,4,4,3,In Store displays;Billboards,Yes
S1041,4,Rarely,No,$ 20,2,1,4,3,3,3,3,Through friends and word of mouth,No
S1096,5,Monthly,No,$30,3,3,4,2,2,3,3,Starbucks Website/Apps;Social Media,Yes
S1129,6,Rarely,No,$ 20,4,3,5,5,4,5,4,Social Media,Yes
S1025,7,Rarely,Yes,$30,5,5,5,5,3,5,5,Starbucks Website/Apps;Social Media,Yes
S1152,8,Rarely,Yes,$ 20,4,2,3,3,3,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
S1119,9,Rarely,Yes,$ 40,5,4,4,4,4,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
S1078,10,Monthly,No,$30,4,3,3,4,3,3,4,Social Media;Through friends and word of mouth,Yes
S1180,11,Rarely,No,$ 20,4,1,4,5,3,3,4,Social Media,Yes
S1225,12,Rarely,No,$ 20,3,2,4,4,3,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
S1205,13,Weekly,Yes,$30,4,3,2,4,4,3,4,Social Media,Yes
S1224,14,Rarely,Yes,$ 20,4,3,4,4,4,4,3,Social Media,Yes
S1075,15,Rarely,Yes,$ 20,5,2,5,5,5,5,2,Social Media;Through friends and word of mouth;In Store displays,No
S1170,16,Rarely,Yes,$ 20,4,1,5,4,3,4,4,Starbucks Website/Apps,No
S1100,17,Monthly,Yes,$30,4,3,3,4,3,3,3,Social Media,Yes
S1203,18,Rarely,Yes,$ 20,4,4,4,4,4,4,4,Social Media;Through friends and word of mouth,Yes
S1201,19,Weekly,Yes,$30,4,3,4,5,5,5,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
S1001,20,Rarely,Yes,$ 20,3,4,3,4,3,4,2,Emails,Yes
S1320,21,Rarely,Yes,$30,2,2,5,3,3,4,3,Social Media;Emails,No
S1059,22,Rarely,No,$30,5,3,4,3,3,4,5,Social Media,Yes
S1113,23,Rarely,No,$ 20,5,2,5,5,2,4,3,Through friends and word of mouth,No
S1288,24,Monthly,Yes,$ 20,5,4,4,5,4,4,3,Social Media;Through friends and word of mouth,Yes
S1186,25,Rarely,No,$30,4,3,4,4,3,3,5,Through friends and word of mouth;In Store displays,Yes
S1017,26,Monthly,Yes,$30,4,3,1,4,4,5,4,Social Media;In Store displays;Billboards,Yes
S1216,27,Rarely,No,$ 20,4,2,4,4,4,4,2,Application offer,No
S1029,28,Monthly,No,$30,5,3,4,4,3,4,3,Social Media,Yes
